Firm,Equity_Attributable_to_Owners,Adjusted_Net_Worth
1,437.019,304.627
2,310.94,268.073
3,449.285,431.197
4,474.194,441.226
5,408.375,405.81
6,479.027,451.97
7,537.523,486.706
8,638.1124167,529.379
9,683.6284819,491.965
10,536.186,456.027
11,34.92520323,28.974
12,83.64066947,60.191
13,437.019,304.627
14,310.94,268.073
15,449.285,431.197
16,474.194,441.226
17,408.375,405.81
18,479.027,451.97
19,537.523,486.706
20,590.322,489.732
21,602.018,433.235
22,536.186,456.027
23,207.592,103
24,166.091,80.04
25,272.256,189.17
26,292.286,213.71
27,267.89,198.9
28,280.977,216
29,323.383,254.6
30,363.88,275.6
31,373.524,257.2
32,367.188,224.1
33,207.592,103
34,166.091,80.04
35,272.256,189.17
36,292.286,213.71
37,267.89,198.9
38,280.977,216
39,323.383,254.6
40,363.88,275.6
41,373.524,257.2
42,367.188,224.1
43,2246.868,627
44,1695.906,411
45,2278.310912,1125
46,2703.505648,1486
47,2656.977596,1401
48,3066.707499,1806
49,3689.626919,2262
50,4030.0174,2275
51,4458.342259,2223
52,5111.777942,2681
53,43.33853647,21.4
54,47.30225225,26
55,63.53229797,33.5
56,103.5820362,61
57,143.5398624,88
58,194.8579842,110
59,328.91054,164
60,310.7869468,163
61,2246.868,627
62,1695.906,411
63,2224.239,1098.3
64,2625.275,1443
65,2550.964,1345.1
66,2951.239,1738
67,3557.505,2181
68,3805.045,2148
69,4159.515,2074
70,4806.711,2521
71,2867.072248,894.2
72,3155.12042,778
73,3526.10234,1709.9
74,4013.001974,2008.2
75,3988.681742,2014
76,4532.282654,2872
77,4855.279194,3131
78,5131.328437,3326
79,5358.339305,3358
80,5536.805701,3317
81,66.04975208,20.6
82,121.6627411,30
83,67.22670114,32.6
84,44.7620975,22.4
85,81.19957865,41
86,154.6530989,98
87,179.8825891,116
88,214.4481818,139
89,248.9282107,156
90,295.452098,177
91,2933.122,914.8
92,2396.756,591
93,3106.451,1506.4
94,3578.37,1790.7
95,3525.25,1780
96,4147.228,2628
97,4506.369,2906
98,4717.86,3058
99,4906.758,3075
100,5161.231,3092
101,4061.163464,1600.6
102,2937.190344,1196.1
103,3740.949776,2347.8
104,4321.840667,2728.7
105,4092.463773,2319.4
106,3764.988996,2724.3
107,4278.115352,3209
108,4693.925322,3557.5
109,5024.007634,3774.5
110,5175.946314,3765.2
111,75.10336032,29.6
112,65.56557327,26.7
113,63.41673101,39.8
114,110.8692222,70
115,146.0964044,82.8
116,76.42472982,55.3
117,88.25529334,66.2
118,66.23613526,50.2
119,514.9790843,386.9
120,547.5351686,398.3
121,3585.678,1413.2
122,2475.039,1007.9
123,3430.399,2152.9
124,3989.233,2518.7
125,3692.816,2092.9
126,3414.375,2470.6
127,3898.031,2923.9
128,4266.821,3233.8
129,4548.028,3416.9
130,4674.188,3400.2
131,3779.891642,1731.6
132,3430.816909,1499.8
133,4389.818162,2733
134,4975.570957,3246.5
135,4918.133425,3169.2
136,5178.004691,3597.5
137,5548.370885,3993
138,5711.190794,4145
139,5688.260573,4086
140,5858.959088,4179
141,170.9202562,78.3
142,157.1523681,68.7
143,138.2961375,86.1
144,170.5778677,111.3
145,405.3440776,261.2
146,433.0956529,300.9
147,458.9599057,330.3
148,516.6939802,375
149,554.0694342,398
150,576.222107,411
151,3381.296,1549
152,2986.81,1305.7
153,4053.153,2523.4
154,4634.875,3024.2
155,4537.619,2924
156,4794.71,3331.2
157,5139.017,3698.4
158,5275.79,3829
159,5226.072,3754
160,5385.083,3841
161,3308.731256,1091
162,4075.535692,824
163,3152.154154,1429
164,3359.472003,1724
165,3515.433749,1537
166,2038.679938,1354
167,1704.936143,1146
168,1720.958925,1181
169,1552.306679,1048
170,1590.044941,1066
171,509.502155,168
172,1122.750731,227
173,677.1947692,307
174,758.0247154,389
175,93.77539605,41
176,130.9934672,87
177,139.8464201,94
178,271.0401017,186
179,312.5350279,211
180,247.6054973,166
181,1643.751,542
182,1285.97,260
183,1949.968,884
184,2252.639,1156
185,2200.291,962
186,2616.858,1738
187,2924.873,1966
188,3065.959,2104
189,3180.155,2147
190,3376.981,2264
